title_dgs,title_pf,artist_pf,artist_dgs,year,genre_1,genre_2,format_1,label,score,publish_date,reviewer,,,,
Small Black - Limits Of Desire,Limits of Desire,Small Black,<Artist 1700137 u'Small Black'>,2013,Electronic,Rock,Vinyl, Jagjaguwar,6.2,2013-05-10,Ian Cohen,,,,
Pharaohs (2) - Replicant Moods,Replicant Moods,Pharaohs,<Artist 1639395 u'Pharaohs (2)'>,2013,Electronic,,Vinyl, 100% Silk,7.5,2013-05-10,Nick Neyland,,,,
Immolation - Kingdom Of Conspiracy,Kingdom of Conspiracy,Immolation,<Artist 282277 u'Immolation'>,2013,Rock,,CD, Nuclear Blast,8,2013-05-10,Hank Shteamer,,,,
Purson - The Circle & The Blue Door,The Circle and the Blue Door,Purson,<Artist 2637584 u'Purson'>,2013,Rock,,Vinyl, Rise Above,7.2,2013-05-10,Kim Kelly,,,,
Justice (3) - Access All Arenas,Access All Arenas,Justice,<Artist 52758 u'Justice (3)'>,2013,Electronic,,Vinyl, Ed Banger,7.8,2013-05-09,Miles Raymer,,,,
Kid Cudi - Indicud,Indicud,Kid Cudi,<Artist 1093094 u'Kid Cudi'>,2013,Hip Hop,,Vinyl, GOOD,4,2013-05-09,Corban Goble,,,,
Beaches (2) - She Beats,She Beats,Beaches,<Artist 1837025 u'Beaches (2)'>,2013,Rock,,Vinyl, Chapter Music,7.2,2013-05-09,Patrick Bowman,,,,
Aosoth - IV Arrow In Heart,IV: Arrow in Heart,Aosoth,<Artist 601663 u'Aosoth'>,2013,Rock,,Vinyl, Agonia,7,2013-05-09,Kim Kelly,,,,
Primal Scream - More Light,More Light,Primal Scream,<Artist 3852 u'Primal Scream'>,2013,Electronic,Rock,Vinyl, First International,7.7,2013-05-08,Stuart Berman,,,,
David Lang - Death Speaks,Death Speaks,David Lang,<Artist 367230 u'David Lang'>,2013,Classical,,Vinyl, Cantaloupe,8,2013-05-08,Jayson Greene,,,,
